,categories name,brand name,product name,pro description,price,brand,color,size,img url 1,img url 2
https://www2.hm.com/en_us/productpage.1274364001.html,shirt,H&M,Glittery Cardigan,"Cardigan in a textured knit with glittery thread. Round neckline, metal buttons at front, and ribbing at button placket, neckline, cuffs, and hem.","1,300,000",H&M,Dark khaki green/gold-colored,"S,M,L",https://image.hm.com/assets/hm/08/3a/083a4b9e24864a84080456aaf1f839b96299324a.jpg?imwidth=1260,https://image.hm.com/assets/hm/53/ae/53ae912521fb0d7511b298c95096015088f555f6.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274363002.html,shirt,H&M,Pocket-Detail Cardigan,"Short, fitted cardigan in densely knit fabric. Metal buttons at front and patch front pockets with button.","890,000",H&M,Cream,"S,M,L",https://image.hm.com/assets/hm/05/80/05803dfcac83fd9212b856a979d7374323ce2bb7.jpg?imwidth=1260,https://image.hm.com/assets/hm/fc/75/fc756e104fb6f24fc039fc1bc77600a29826ad7d.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1274363001.html,shirt,H&M,Pocket-Detail Cardigan,"Short, fitted cardigan in densely knit fabric. Metal buttons at front and patch front pockets with button.","890,000",H&M,Cream,"S,M,L",https://image.hm.com/assets/hm/0c/81/0c81a5c08152eaa268628e55552e1e64cba945b8.jpg?imwidth=1260,https://image.hm.com/assets/hm/7c/66/7c66cb26d7528bb9937856c0b45f2fc5613c67dd.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1273435001.html,skirt,H&M,Lace Skirt,"Ankle-length skirt in lace. High waist, narrow, covered elastic at waistband, and a scalloped, frayed-edge hem. Unlined.","1,100,000",H&M,Beige,"S,M,L",https://image.hm.com/assets/hm/7d/4b/7d4bafd9b77207f799fcb1765b9a6ee5ec0258f1.jpg?imwidth=1260,https://image.hm.com/assets/hm/52/e5/52e5a843a5df84980c44d14aca10871efbc7d56d.jpg?imwidth=1260
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
